id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del
CO1.BDOS.2891616,SA-MC-014-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,150000000,144748722,8,3,Mes(es),2022-04-22T00:00:00.000
CO1.BDOS.2884075,LIC 007 MT 2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE TOCANCIPA,Cundinamarca,Tocancipá,Licitación pública Obra Publica,Obra,Seleccionado,1497789258,1497378804,1,12,Mes(es),2022-04-20T00:00:00.000
CO1.BDOS.2884224,LIC 008 MT 2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE TOCANCIPA,Cundinamarca,Tocancipá,Licitación pública Obra Publica,Obra,Seleccionado,544512006,544512005,1,6,Mes(es),2022-04-20T00:00:00.000
CO1.BDOS.2884340,LIC 009 MT 2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE TOCANCIPA,Cundinamarca,Tocancipá,Licitación pública Obra Publica,Obra,Seleccionado,3228660366,3228657397,1,6,Mes(es),2022-04-20T00:00:00.000
CO1.BDOS.2880901,LIC 006 MT 2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE TOCANCIPA,Cundinamarca,Tocancipá,Licitación pública Obra Publica,Obra,Seleccionado,18518518518,18518517963,1,12,Mes(es),2022-04-20T00:00:00.000
CO1.BDOS.2889839,SAMC 02 DE 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,94650235,8,60,día(s),2022-04-19T00:00:00.000
CO1.BDOS.2868169,LP-003-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Licitación pública Obra Publica,Obra,Seleccionado,791601118,791596047,1,5,Mes(es),2022-04-18T00:00:00.000
CO1.BDOS.2885390,SA-MC-002-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,123280319,123269225,1,3,Mes(es),2022-04-13T00:00:00.000
CO1.BDOS.2870035,LP 2022-074 (Fase de Selección (Presentación de ofertas)),IDERF,Cundinamarca,Fusagasugá,Licitación pública Obra Publica,Obra,Seleccionado,1150000000,1121095072,6,4,Mes(es),2022-04-12T00:00:00.000
CO1.BDOS.2877304,SAMC 04 DE 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,86451049,86002258,2,2,Mes(es),2022-04-08T00:00:00.000
CO1.BDOS.2872607,SAMC 03 DE 2022  (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,95518677,9,60,día(s),2022-04-06T00:00:00.000
CO1.BDOS.2869015,SAMC-004-2022 (Presentación de oferta),ALCALDÍA MUNICIPAL DE MADRID CUNDINAMARCA,Cundinamarca,Madrid,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Obra,Seleccionado,4405066983,4404922142,1,8,Mes(es),2022-04-04T00:00:00.000
CO1.BDOS.2870405,SAMC-003-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE GIRARDOT,Cundinamarca,Girardot,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,135000000,134998814,2,4,Mes(es),2022-04-01T00:00:00.000
CO1.BDOS.2865737,SA 2022-0498 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL FUSAGASUGA,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,262048437,262048437,1,3,Mes(es),2022-03-31T00:00:00.000
