id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del,sobrecosto_pesos,ratio_sobrecosto,tiene_sobrecosto,duracion_dias_prevista
CO1.BDOS.8179746,SAMC-005-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE AGUA DE DIOS,Cundinamarca,Agua De Dios,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,219986171.0,219986171.0,1,4,Mes(es),2025-06-17,0.0,0.0,0,120.0
CO1.BDOS.8194591,SA-MC-004-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO MANTA CUNDINAMARCA,Cundinamarca,Manta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,225376550.0,223116382.0,3,5,Mes(es),2025-06-17,-2260168.0,-0.010028408013167298,0,150.0
CO1.BDOS.8278446,SMC 027-2025,MUNICIPIO DE GACHANCIPA,Cundinamarca,Gachancipá,Mínima cuantía,Obra,Seleccionado,14680384.0,14679103.0,1,30,día(s),2025-06-17,-1281.0,-8.725929784942955e-05,0,30.0
CO1.BDOS.8272808,MC-024-2025,ALCALDIA MUNICIPIO DE LA VEGA CUNDINAMARCA,Cundinamarca,La Vega,Mínima cuantía,Obra,Seleccionado,39724951.0,39223312.0,1,0,día(s),2025-06-16,-501639.0,-0.012627806639711147,0,0.0
CO1.BDOS.8238620,MC-004-2025,PERSONERIA DE CAJICA,Cundinamarca,Cajicá,Mínima cuantía,Obra,Seleccionado,39676000.0,37493820.0,3,1,Mes(es),2025-06-16,-2182180.0,-0.055,0,30.0
CO1.BDOS.8238313,CD-CI-008-2025,MUNICIPIO DE SAN FRANCISCO,Cundinamarca,San Francisco,Contratación Directa (con ofertas),Obra,Seleccionado,60000000.0,60000000.0,1,2,Mes(es),2025-06-16,0.0,0.0,0,60.0
CO1.BDOS.8179776,SAMC-007-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,467748022.0,465877028.0,3,5,Mes(es),2025-06-16,-1870994.0,-0.004000004087670947,0,150.0
CO1.BDOS.8164738,LP-001--2025 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE PUERTO SALGAR,Cundinamarca,Puerto Salgar,Licitación pública Obra Publica,Obra,Seleccionado,916548225.0,916411330.0,2,0,día(s),2025-06-13,-136895.0,-0.00014935929857918823,0,0.0
CO1.BDOS.8054316,AM-LP 001 DE 2025 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE MACHETA,Cundinamarca,Macheta,Licitación pública Obra Publica,Obra,Seleccionado,1345482150.0,1278616666.0,23,6,Mes(es),2025-06-13,-66865484.0,-0.04969629957558337,0,180.0
CO1.BDOS.8173985,SAMC-010-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE COGUA,Cundinamarca,Cogua,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,142299770.0,140349770.0,2,4,Mes(es),2025-06-11,-1950000.0,-0.013703465578335088,0,120.0
CO1.BDOS.8096258,LP-02-2025  (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE LA MESA,Cundinamarca,La Mesa,Licitación pública Obra Publica,Obra,Seleccionado,860349437.0,810702770.0,31,6,Mes(es),2025-06-11,-49646667.0,-0.057705235646013445,0,180.0
CO1.BDOS.8154821,SAMC-CMC-CDA-002-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),SENA REGIONAL CUNDINAMARCA Grupo Administrativo CDA,Cundinamarca,Chía,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,290671631.0,290671631.0,1,0,día(s),2025-06-11,0.0,0.0,0,0.0
CO1.BDOS.8248071,CMC-018-2025,ALCALDIA MUNICIPAL TAUSA,Cundinamarca,Tausa,Mínima cuantía,Obra,Seleccionado,9399047.0,8437047.0,3,15,día(s),2025-06-11,-962000.0,-0.10235080216111271,0,15.0
CO1.BDOS.8154976,SAMC-008-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE GIRARDOT,Cundinamarca,Girardot,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,640000000.0,639992524.0,2,4,Mes(es),2025-06-10,-7476.0,-1.168125e-05,0,120.0
